"locationID","verbatimLatitude","verbatimLongitude","verbatimWaterbody","Program"
"OWW04440-0368",40.44297,-86.444098,"MIDDLE FK. WILDCAT CR.","EPA"
"OWW04440-0369",30.126205,-92.406979,"NO NAME TRIBUTARY","EPA"
"OWW04440-0373",32.055541,-94.962951,"JOHNSON CREEK","EPA"
"OWW04440-0377",36.110319,-90.449962,"LOCUST CREEK","EPA"
"OWW04440-0378",41.516597,-81.223352,"BEAVER CREEK","EPA"
"OWW04440-0380",37.778285,-91.032034,"CUB CREEK","EPA"
"OWW04440-0381",30.286987,-98.895282,"BARON CREEK","EPA"
"OWW04440-0382",37.600228,-82.514848,"JOHNS CREEK","EPA"
"OWW04440-0383",43.123117,-78.512015,"MUD CREEK","EPA"
"OWW04440-0384",38.852413,-81.191966,"LEFT FORK/BARNES RUN","EPA"
"OWW04440-0386",42.262413,-75.789983,"UT TO PAGE BROOK","EPA"
"OWW04440-0387",35.803914,-96.483066,"LITTLE DEEP FORK","EPA"
"OWW04440-0389",34.42715,-92.380185,"RAILROAD BRANCH","EPA"
"OWW04440-0393",30.501864,-91.166892,"NNT MONSANTO BAYOU","EPA"
"OWW04440-0394",40.722072,-76.793002,"MAHANOY CREEK","EPA"
"OWW04440-0398",36.850957,-87.428641,"UT TO SOUTH FORK LITTLE RIVER","EPA"
"OWW04440-0400",41.863759,-88.744868,"UNKNOWN","EPA"
"OWW04440-0401",30.48896,-87.363313,"HURST BRANCH","EPA"
"OWW04440-0403",39.729547,-97.946009,"MARSH CREEK","EPA"
"OWW04440-0405",34.085611,-97.670506,"WEST MUD CREEK","EPA"
"OWW04440-0410",39.244215,-78.664861,"TEAR COAT CREEK","EPA"
"OWW04440-0416",40.942981,-83.812091,"OTTAWA CREEK","EPA"
"OWW04440-0418",43.207763,-83.200398,"BOTTOM CREEK","EPA"
"OWW04440-0419",39.501327,-94.16099,"BURNT FORK","EPA"
"OWW04440-0420",36.357356,-82.703299,"CLEAR CREEK","EPA"
